HGNC_symbol;HGNC_id
CACNA1G;HGNC:1394
CACNA1H;HGNC:1395
CACNB4;HGNC:1404
CAD;HGNC:1424
CAMK2A;HGNC:1460
CAMK2B;HGNC:1461
CAMK2G;HGNC:1463
CAMTA1;HGNC:18806
CANT1;HGNC:19721
CAPN10;HGNC:1477
CAPRIN1;HGNC:6743
CARS1;HGNC:1493
CARS2;HGNC:25695
CASK;HGNC:1497
CASP2;HGNC:1503
CAV1;HGNC:1527
CBL;HGNC:1541
CBS;HGNC:1550
CC2D1A;HGNC:30237
CC2D2A;HGNC:29253
CCBE1;HGNC:29426
CCDC103;HGNC:32700
ODAD1;HGNC:26560
CCDC115;HGNC:28178
ODAD3;HGNC:28303
CCDC22;HGNC:28909
CCDC32;HGNC:28295
CCDC39;HGNC:25244
CCDC40;HGNC:26090
CCDC47;HGNC:24856
CCDC65;HGNC:29937
CCDC78;HGNC:14153
CCDC8;HGNC:25367
CCDC88A;HGNC:25523
CCDC88C;HGNC:19967
CCNA2;HGNC:1578
CCND2;HGNC:1583
CCNK;HGNC:1596
CCNO;HGNC:18576
CCNQ;HGNC:28434
CD151;HGNC:1630
CD96;HGNC:16892
CDC40;HGNC:17350
CDC42;HGNC:1736
CDC42BPB;HGNC:1738
CDC45;HGNC:1739
CDC6;HGNC:1744
CDH1;HGNC:1748
CDH15;HGNC:1754
CDH2;HGNC:1759
CDH23;HGNC:13733
CDH3;HGNC:1762
CDK10;HGNC:1770
CDK13;HGNC:1733
CDK16;HGNC:8749
CDK19;HGNC:19338
CDK5RAP2;HGNC:18672
CDK8;HGNC:1779
CDKL5;HGNC:11411
CDKN1C;HGNC:1786
CDON;HGNC:17104
CDT1;HGNC:24576
CENPF;HGNC:1857
CENPJ;HGNC:17272
CEP104;HGNC:24866
CEP135;HGNC:29086
CEP152;HGNC:29298
CEP290;HGNC:29021
CEP41;HGNC:12370
CEP57;HGNC:30794
CEP63;HGNC:25815
CEP83;HGNC:17966
CERT1;HGNC:2205
CFAP298;HGNC:1301
CFAP300;HGNC:28188
CFAP410;HGNC:1260
CFC1;HGNC:18292
CFL2;HGNC:1875
CHAMP1;HGNC:20311
CHD1;HGNC:1915
CHD2;HGNC:1917
CHD3;HGNC:1918
CHD4;HGNC:1919
CHD7;HGNC:20626
CHD8;HGNC:20153
CHM;HGNC:1940
CHMP1A;HGNC:8740
CHRDL1;HGNC:29861
CHRNA1;HGNC:1955
CHRNA2;HGNC:1956
CHRNA3;HGNC:1957
CHRNA4;HGNC:1958
CHRNB2;HGNC:1962
CHRNG;HGNC:1967
CHST14;HGNC:24464
CHST3;HGNC:1971
CHSY1;HGNC:17198
CHUK;HGNC:1974
CIB2;HGNC:24579
CIC;HGNC:14214
CISD2;HGNC:24212
CIT;HGNC:1985
CKAP2L;HGNC:26877
CLCN4;HGNC:2022
CLCN6;HGNC:2024
CLCN7;HGNC:2025
CLCNKA;HGNC:2026
CLCNKB;HGNC:2027
CLDN19;HGNC:2040
CLIC2;HGNC:2063
CLMP;HGNC:24039
CLN3;HGNC:2074
CLN5;HGNC:2076
CLN6;HGNC:2077
CLN8;HGNC:2079
CLP1;HGNC:16999
CLPB;HGNC:30664
CLPP;HGNC:2084
CLTC;HGNC:2092
CNKSR1;HGNC:19700
CNKSR2;HGNC:19701
CNNM2;HGNC:103
CNOT1;HGNC:7877
CNOT3;HGNC:7879
CNPY3;HGNC:11968
CNTNAP1;HGNC:8011
CNTNAP2;HGNC:13830
COA5;HGNC:33848
COA8;HGNC:20492
COASY;HGNC:29932
COG1;HGNC:6545
COG4;HGNC:18620
COG5;HGNC:14857
COG7;HGNC:18622
COG8;HGNC:18623
COL10A1;HGNC:2185
COL11A1;HGNC:2186
COL11A2;HGNC:2187
COL13A1;HGNC:2190
COL18A1;HGNC:2195
COL1A1;HGNC:2197
COL25A1;HGNC:18603
COL27A1;HGNC:22986
COL2A1;HGNC:2200
COL4A1;HGNC:2202
COL4A2;HGNC:2203
COL4A3;HGNC:2204
COL4A4;HGNC:2206
COL6A1;HGNC:2211
COL6A3;HGNC:2213
COL9A1;HGNC:2217
COL9A2;HGNC:2218
COL9A3;HGNC:2219
COLEC10;HGNC:2220
COLEC11;HGNC:17213
COMP;HGNC:2227
COQ2;HGNC:25223
COQ4;HGNC:19693
COQ5;HGNC:28722
COQ8A;HGNC:16812
COQ9;HGNC:25302
COX10;HGNC:2260
COX14;HGNC:28216
COX15;HGNC:2263
COX16;HGNC:20213
COX6B1;HGNC:2280
COX7B;HGNC:2291
CPAMD8;HGNC:23228
CPLANE1;HGNC:25801
CPS1;HGNC:2323
CRADD;HGNC:2340
CRB1;HGNC:2343
CRB2;HGNC:18688
CRBN;HGNC:30185
CREBBP;HGNC:2348
CRELD1;HGNC:14630
CRIM1;HGNC:2359
CRIPT;HGNC:14312
CRKL;HGNC:2363
CRPPA;HGNC:37276
CRX;HGNC:2383
CRYAA;HGNC:2388
CRYAB;HGNC:2389
CRYBA1;HGNC:2394
CRYBA4;HGNC:2396
CRYBB1;HGNC:2397
CRYBB2;HGNC:2398
CRYBB3;HGNC:2400
CRYGC;HGNC:2410
CRYGD;HGNC:2411
CSF1R;HGNC:2433
CSNK1G1;HGNC:2454
CSNK2A1;HGNC:2457
CSNK2B;HGNC:2460
CSPP1;HGNC:26193
CSTA;HGNC:2481
CSTB;HGNC:2482
CTBP1;HGNC:2494
CTC1;HGNC:26169
CTCF;HGNC:13723
CTDP1;HGNC:2498
CTNNA2;HGNC:2510
CTNNB1;HGNC:2514
CTNND1;HGNC:2515
CTNND2;HGNC:2516
CTNS;HGNC:2518
CTSA;HGNC:9251
CTSD;HGNC:2529
CTSK;HGNC:2536
CTU2;HGNC:28005
CUL3;HGNC:2553
CUL4B;HGNC:2555
CUL7;HGNC:21024
CUX1;HGNC:2557
CUX2;HGNC:19347
CWC27;HGNC:10664
CYB5R3;HGNC:2873
CYC1;HGNC:2579
CYFIP2;HGNC:13760
CYP1B1;HGNC:2597
CYP24A1;HGNC:2602
CYP27A1;HGNC:2605
CYP2U1;HGNC:20582
D2HGDH;HGNC:28358
DACT1;HGNC:17748
DAG1;HGNC:2666
DARS1;HGNC:2678
DARS2;HGNC:25538
DBT;HGNC:2698
DCAF17;HGNC:25784
DCC;HGNC:2701
DCDC2;HGNC:18141
DCHS1;HGNC:13681
DCX;HGNC:2714
DDB2;HGNC:2718
DDC;HGNC:2719
DDHD1;HGNC:19714
DDHD2;HGNC:29106
DDOST;HGNC:2728
DDR2;HGNC:2731
DDX11;HGNC:2736
DDX23;HGNC:17347
DDX3X;HGNC:2745
DDX54;HGNC:20084
DDX58;HGNC:19102
DDX59;HGNC:25360
DDX6;HGNC:2747
DEAF1;HGNC:14677
DEGS1;HGNC:13709
DENND5A;HGNC:19344
DEPDC5;HGNC:18423
DGAT1;HGNC:2843
DHCR24;HGNC:2859
DHCR7;HGNC:2860
DHDDS;HGNC:20603
DHFR;HGNC:2861
DHODH;HGNC:2867
DHPS;HGNC:2869
DHRS3;HGNC:17693
DHTKD1;HGNC:23537
DHX16;HGNC:2739
DHX30;HGNC:16716
DHX34;HGNC:16719
DHX37;HGNC:17210
DIP2B;HGNC:29284
DIS3L2;HGNC:28648
DISP1;HGNC:19711
DKC1;HGNC:2890
DLAT;HGNC:2896
DLD;HGNC:2898
DLG3;HGNC:2902
DLG4;HGNC:2903
